Document_ID,Risk_Score,Top_Topic,Text
9,2.4550,14,"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only."
4282,2.4550,14,"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only."
1603,2.4433,10,"Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass"
46,2.3940,10,"No calls..messages..missed calls"
327,2.3940,10,"No calls..messages..missed calls"
1989,2.3940,10,"No calls..messages..missed calls"
2363,2.2966,10,"Hi. I'm sorry i missed your call. Can you pls call back."
1276,2.2962,10,"Let me know how to contact you. I've you settled in a room. Lets know you are ok."
14,2.2861,7,"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times."
5369,2.2774,10,"IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!"
37,2.2631,10,"Oops, I'll let you know when my roommate's done"
2946,2.2631,10,"We currently have a message awaiting your collection. To collect your message just call 08718723815."
1095,2.2595,2,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home."
2497,2.2447,14,"WINNER! As a valued network customer you hvae been selected to receive a £900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM"
1046,2.2438,10,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
4214,2.2436,10,"Missed call alert. These numbers called but left no message. 07008009200"
19,2.2432,11,"Fine if thats the way u feel. Thats the way its gota b"
3352,2.2319,7,"Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance."
3361,2.2263,10,"Sorry I missed your call let's talk when you have the time. I'm on 07090201529"
3336,2.2262,10,"That's fine, have him give me a call if he knows what he wants or has any questions"
3599,2.2260,14,"Congratulations YOU'VE Won. You're a Winner in our August £1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309."
1930,2.2120,10,"Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!"
3046,2.2120,10,"Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs"
2297,2.2118,7,"HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX"
4810,2.2118,2,"What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend."
41,2.2117,2,"Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola"
4151,2.1981,7,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ..."
3704,2.1864,19,"Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you ."
2239,2.1818,10,"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know."
3009,2.1818,10,"Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!"
4072,2.1818,10,"Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all"
4662,2.1818,10,"You call him and tell now infront of them. Call him now."
5079,2.1818,10,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh."
5139,2.1818,10,"Yup... I havent been there before... You want to go for the yoga? I can call up to book"
2590,2.1814,10,"My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:)"
3808,2.1770,14,"URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only"
4191,2.1689,10,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want"
1715,2.1687,14,"Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX"
3154,2.1687,14,"Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX"
642,2.1686,10,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out"
1326,2.1684,10,"Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz"
4890,2.1684,10,"You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later."
1273,2.1566,10,"If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number"
177,2.1566,10,"Let me know when you've got the money so carlos can make the call"
792,2.1563,2,"This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola"
4953,2.1561,19,"hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx"
681,2.1466,10,"Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today."
42,2.1466,20,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
3614,2.1466,14,"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure"
